Country;CommodityCode;Grandeza;CÓDIGO DATAGRO
Paraguay;410000;AreaHarvested;WHT_PY
Paraguay;440000;AreaHarvested;COR_PY
Paraguay;2222000;AreaHarvested;SBS_PY
Paraguay;2224000;AreaHarvested;SFS_PY
Paraguay;2226000;AreaHarvested;RPS_PY
Peru;410000;AreaHarvested;WHT_PE
Peru;440000;AreaHarvested;COR_PE
Peru;2222000;AreaHarvested;SBS_PE
Peru;4243000;AreaHarvested;PAO_PE
Philippines;440000;AreaHarvested;COR_PH
Philippines;2221000;AreaHarvested;PNS_PH
Philippines;2222000;AreaHarvested;SBS_PH
Philippines;2231000;AreaHarvested;CPO_PH
Philippines;2232000;AreaHarvested;PKS_PH
Philippines;4243000;AreaHarvested;PAO_PH
Russia;410000;AreaHarvested;WHT_RU
Russia;440000;AreaHarvested;COR_RU
Russia;2222000;AreaHarvested;SBS_RU
Russia;2224000;AreaHarvested;SFS_RU
Russia;2226000;AreaHarvested;RPS_RU
Rwanda;410000;AreaHarvested;WHT_RW
Rwanda;440000;AreaHarvested;COR_RW
Samoa;2231000;AreaHarvested;CPO_WS
Sao Tome and Principe;2231000;AreaHarvested;CPO_ST
Sao Tome and Principe;2232000;AreaHarvested;PKS_ST
Saudi Arabia;410000;AreaHarvested;WHT_SA
Saudi Arabia;440000;AreaHarvested;COR_SA
Senegal;440000;AreaHarvested;COR_SN
Senegal;2221000;AreaHarvested;PNS_SN
Senegal;4243000;AreaHarvested;PAO_SN
Serbia;410000;AreaHarvested;WHT_RS
Serbia;440000;AreaHarvested;COR_RS
Serbia;2222000;AreaHarvested;SBS_RS
Serbia;2224000;AreaHarvested;SFS_RS
Sierra Leone;440000;AreaHarvested;COR_SL
Sierra Leone;2232000;AreaHarvested;PKS_SL
Sierra Leone;4243000;AreaHarvested;PAO_SL
Solomon Islands;2231000;AreaHarvested;CPO_SB
Solomon Islands;2232000;AreaHarvested;PKS_SB
Somalia;440000;AreaHarvested;COR_SO
South Africa;410000;AreaHarvested;WHT_ZA
South Africa;440000;AreaHarvested;COR_ZA
South Africa;2221000;AreaHarvested;PNS_ZA
South Africa;2222000;AreaHarvested;SBS_ZA
South Africa;2224000;AreaHarvested;SFS_ZA
South Africa;2226000;AreaHarvested;RPS_ZA
South Sudan;440000;AreaHarvested;COR_SS
Sri Lanka;440000;AreaHarvested;COR_LK
Sudan;410000;AreaHarvested;WHT_SD
Sudan;2221000;AreaHarvested;PNS_SD
Switzerland;410000;AreaHarvested;WHT_CH
Switzerland;440000;AreaHarvested;COR_CH
Switzerland;2222000;AreaHarvested;SBS_CH
Switzerland;2224000;AreaHarvested;SFS_CH
Switzerland;2226000;AreaHarvested;RPS_CH
Syria;410000;AreaHarvested;WHT_SY
Syria;440000;AreaHarvested;COR_SY
