id,Código_Produto,Classificação,Subproduto,Local,Fetch_Status,bolsa,roda,fonte,tav,subtav,decimais,correlatos,empresa,contrato,subproduto_id,entcode,nome,longo,descr,codf,bd,palavras,habilitado,lote,rep,vln,dia,freq,dex,inserido,alterado,created_at,updated_at
23,SCPr_Sp_BR_6,Açúcar,,"São Paulo",Success,2,50,,T,,2,10,,,999,PRMO000119,"Sugar Cane On Field SP","Consecana SP Monthly Sugar Cane On Field Price Month BRL/MT Sao Paulo Brazil","Consecana SP Monthly Sugar Cane On Field Price Month BRL/MT Sao Paulo Brazil",,,,1,0,0,0,1,D,,"2020-09-18 22:32:01","2022-02-08 12:50:53",,2023-11-23T18:31:20.000000Z
24,SuCbPr_Sp_BR,Açúcar,"Crystal Bagged Sugar","São Paulo",Success,25,61,12,T,,4,10,,,2393,,"Cristal SP","Cristal SP 50kg","CEPEA Daily Sugar Crystal Bagged Price BRL/Bg 5kg Sao Paulo Brazil",,,,1,,,,1,D,,"2019-09-24 11:49:45","2022-01-26 14:44:07",,2023-11-23T18:31:25.000000Z
25,SuPr_AL_BR,Açúcar,"Crystal Bagged Sugar",Alagoas,Success,25,61,12,T,,2,10,,,2393,,"Açúcar AL","Indicador semanal do açúcar CEPEA AL","CEPEA Weekly Sugar Price Index Alagoas Brazil",,,,1,,,,1,D,,"2021-01-22 20:20:02","2022-01-26 14:44:07",,2023-11-23T18:31:25.000000Z
26,SuPr_AL_BR_1,Açúcar,"Crystal Bagged Sugar",Alagoas,Success,25,61,12,T,,2,10,,,2393,,"Açúcar AL Mensal","Indicador mensal do açúcar CEPEA AL","CEPEA Monthly Sugar Price Index Alagoas Brazil",,,,1,,,,1,D,,"2021-01-22 20:20:02","2022-01-26 14:44:07",,2023-11-23T18:31:27.000000Z
27,SuPr_CN_42,Açúcar,,China,Success,2,50,,T,,2,10,,,2218,PRPR019338,"Sugar FOB Front Month China","Zhengzhou Commodity Exchange Daily Sugar FOB Front Month Price USD/MT China","Zhengzhou Commodity Exchange Daily Sugar FOB Front Month Price USD/MT China",SuPr_CN_42,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 22:17:39",,2023-11-23T18:31:27.000000Z
28,SuPr_PB_BR,Açúcar,"Crystal Bagged Sugar",Paraíba,Success,25,61,12,T,,2,10,,,2393,,"Açúcar PB","Indicador mensal do açúcar CEPEA PB","CEPEA Monthly Sugar Price Index Paraiba Brazil",,,,1,,,,1,D,,"2021-01-22 20:20:02","2022-01-26 14:44:07",,2023-11-23T18:31:27.000000Z
29,SuPr_PE_BR,Açúcar,"Crystal Bagged Sugar",Pernambuco,Success,25,61,12,T,,2,10,,,2393,,"Açúcar PE","Indicador mensal do açúcar CEPEA PE","CEPEA Monthly Sugar Price Index Pernambuco Brazil",,,,1,,,,1,D,,"2021-01-22 20:20:02","2022-01-26 14:44:07",,2023-11-23T18:31:27.000000Z
30,SuPr_Rj_BR,Açúcar,"Crystal Bagged Sugar","Rio de Janeiro",Failed,25,61,12,T,,2,10,,,2393,PRPR015111,"Açúcar RJ","UFRRJ Daily Sugar Price BRL/Bg 50kg Rio de Janeiro Brazil","UFRRJ Daily Sugar Price BRL/Bg 50kg Rio de Janeiro Brazil",SuPr_Rj_BR,,,1,0,0,0,1,D,,"2021-03-24 16:53:38","2021-03-24 16:53:38",,2023-11-23T14:49:56.000000Z
31,SuPr_RU_41,Açúcar,,Rússia,Success,2,50,,T,,2,10,,,2218,PRPR019337,"Sugar FOB Front Month Russia","Moscow Exchange Daily Sugar FOB Front Month Price USD/Kg Russia","Moscow Exchange Daily Sugar FOB Front Month Price USD/Kg Russia",SuPr_RU_41,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 22:17:39",,2023-11-23T18:31:28.000000Z
32,SuPr_Sa_BR,Açúcar,"Crystal Bagged Sugar",Santos,Success,25,61,12,T,,2,10,,,2393,,"Açúcar Santos","Açúcar Santos 50kg","CEPEA Daily Sugar Price BRL/Bg 50kg Santos Region Center South Sao Paulo Brazil",,,,1,,,,1,D,,"2019-09-24 11:49:45","2022-01-26 14:44:07",,2023-11-23T18:31:31.000000Z
33,SuPr_Sp_BR,Açúcar,"Crystal Bagged Sugar","São Paulo",Success,25,61,12,T,,2,10,,,2393,,"Açúcar SP","Açúcar SP 50kg CEPEA","CEPEA Daily Sugar Price BRL/Bg 50kg Sao Paulo Brazil",,,,1,,,,1,D,,"2019-09-24 11:49:45","2022-02-08 12:44:11",,2023-11-23T18:31:35.000000Z
34,SuPr_Sp_BR_1,Açúcar,"Crystal Bagged Sugar","São Paulo",Success,2,50,87,T,,2,10,,,2393,,"Açúcar SP IEA","Açúcar SP kg IEA","IEA Monthly Sugar Retail Price Duty Fee Paid BRL/kg Sao Paulo Brazil",,,,1,,,,1,M,,"2022-02-08 12:44:11","2022-02-08 12:44:11",,2023-11-23T21:01:15.000000Z
35,SuPr_WW,Açúcar,,,Success,2,50,,T,,2,10,,,999,PRPR001249,"Sugar World","ISO Daily Sugar Price USD cents/lb World","ISO Daily Sugar Price USD cents/lb World",SuPr_WW,,,1,0,3,0,1,D,,"2020-09-18 22:17:39","2022-05-18 23:31:26",,2023-11-23T18:31:38.000000Z
36,SuRaPr_Ac_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004375,"Sugar Raw Acapulco","SNIIM Daily Sugar Raw Price MXN Bg 50kg Acapulco Guerrero Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Acapulco Guerrero Mexico",SuRaPr_Ac_MX,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:02",,2023-11-23T18:31:38.000000Z
37,SuRaPr_Ag_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004363,"Sugar Raw Aguascalientes","SNIIM Daily Sugar Raw Price MXN Bg 50kg Aguascalientes Aguascalientes Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Aguascalientes Aguascalientes Mexico",SuRaPr_Ag_MX,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:02",,2023-11-23T18:31:38.000000Z
38,SuRaPr_Al_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004396,"Sugar Raw Altamira","SNIIM Daily Sugar Raw Price MXN Bg 50kg Altamira Tamaulipas Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Altamira Tamaulipas Mexico",SuRaPr_Al_MX,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:02",,2023-11-23T18:31:38.000000Z
39,SuRaPr_Ch_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004387,"Sugar Raw Chetumal","SNIIM Daily Sugar Raw Price MXN Bg 50kg Chetumal Quintana Roo Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Chetumal Quintana Roo Mexico",SuRaPr_Ch_MX,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:02",,2023-11-23T18:31:39.000000Z
40,SuRaPr_Ch_MX_1,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004368,"Sugar Raw Chihuahua","SNIIM Daily Sugar Raw Price MXN Bg 50kg Chihuahua Chihuahua Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Chihuahua Chihuahua Mexico",SuRaPr_Ch_MX_1,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:02",,2023-11-23T18:31:39.000000Z
41,SuRaPr_Co_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004390,"Sugar Raw Ciudad Obregon","SNIIM Daily Sugar Raw Price MXN Bg 50kg Ciudad Obregon Sonora Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Ciudad Obregon Sonora Mexico",SuRaPr_Co_MX,,,1,0,0,0,1,D,,"2021-10-21 19:40:33","2021-10-21 19:40:33",,2023-11-23T18:31:39.000000Z
42,SuRaPr_Co_MX_1,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004370,"Sugar Raw Colima","SNIIM Daily Sugar Raw Price MXN Bg 50kg Colima Colima Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Colima Colima Mexico",SuRaPr_Co_MX_1,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:02",,2023-11-23T18:31:39.000000Z
43,SuRaPr_Cu_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004379,"Sugar Raw Cuautla","SNIIM Daily Sugar Raw Price MXN Bg 50kg Cuautla Morelos Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Cuautla Morelos Mexico",SuRaPr_Cu_MX,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:02",,2023-11-23T18:31:39.000000Z
44,SuRaPr_Cu_MX_1,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004389,"Sugar Raw Culiacan","SNIIM Daily Sugar Raw Price MXN Bg 50kg Culiacan Sinaloa Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Culiacan Sinaloa Mexico",SuRaPr_Cu_MX_1,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:03",,2023-11-23T18:31:40.000000Z
45,SuRaPr_Du_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004372,"Sugar Raw Durango","SNIIM Daily Sugar Raw Price MXN Bg 50kg Durango Durango Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Durango Durango Mexico",SuRaPr_Du_MX,,,1,0,0,0,1,D,,"2021-12-09 19:22:40","2021-12-09 19:22:40",,2023-11-23T18:31:40.000000Z
46,SuRaPr_Ec_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004392,"Sugar Raw Ecatepec","SNIIM Daily Sugar Raw Price MXN Bg 50kg Ecatepec State of Mexico Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Ecatepec State of Mexico Mexico",SuRaPr_Ec_MX,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:03",,2023-11-23T18:31:40.000000Z
47,SuRaPr_Gu_MX,Açúcar,"Raw Sugar",México,Success,2,50,,T,,2,10,,,1974,PRPR004381,"Sugar Raw Guadalupe","SNIIM Daily Sugar Raw Price MXN Bg 50kg Guadalupe Nuevo Leon Mexico","SNIIM Daily Sugar Raw Price MXN Bg 50kg Guadalupe Nuevo Leon Mexico",SuRaPr_Gu_MX,,,1,0,0,0,1,D,,"2020-09-18 22:17:39","2020-09-18 23:13:03",,2023-11-23T18:31:40.000000Z
