CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO,NO_NCM_POR,SG_UNID,NO_PAIS,NO_UF,NO_REGIAO,NO_VIA,NO_URF
2016,6,11010010,10,845,SP,7,1010252,154092,154092,40183,2700,0,Farinha de trigo,KGL  ,Uruguai,São Paulo,REGIAO SUDESTE,RODOVIARIA,1010252 - JAGUARAO
2016,5,10019900,10,249,BA,1,517600,8000000,8000000,1605537,148000,1714,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Estados Unidos,Bahia,REGIAO NORDESTE,MARITIMA,0517600 - PORTO DE SALVADOR
2016,11,11010010,10,149,RR,7,260152,36900,36900,19680,145,0,Farinha de trigo,KGL  ,Canadá,Roraima,REGIAO NORTE,RODOVIARIA,0260152 - BONFIM
2016,4,10019900,10,63,CE,1,317600,15708000,15708000,2978163,221483,3100,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Argentina,Ceará,REGIAO NORDESTE,MARITIMA,0317600 - PORTO DE FORTALEZA
2016,9,11010010,10,63,ES,1,817800,230000,230000,85790,9002,0,Farinha de trigo,KGL  ,Argentina,Espírito Santo,REGIAO SUDESTE,MARITIMA,0817800 - PORTO DE SANTOS
2016,9,12019000,21,161,SP,1,817800,0,420,515,117,0,"Soja, mesmo triturada, exceto para semeadura",TML  ,Taiwan (Formosa),São Paulo,REGIAO SUDESTE,MARITIMA,0817800 - PORTO DE SANTOS
2016,10,10059010,10,586,RS,7,1010852,4000000,4000000,746500,110350,0,"Milho em grão, exceto para semeadura",KGL  ,Paraguai,Rio Grande do Sul,REGIAO SUL,RODOVIARIA,1010852 - PORTO XAVIER
2016,3,10019900,10,586,MS,7,910651,1000000,1000000,165000,7500,0,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Paraguai,Mato Grosso do Sul,REGIAO CENTRO OESTE,RODOVIARIA,0910651 - GUAIRA
2016,4,10019900,10,63,MA,1,327600,7900000,7900000,1582865,174985,631,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Argentina,Maranhão,REGIAO NORDESTE,MARITIMA,0327600 - PORTO DE SAO LUIS
2016,1,11010010,10,63,PR,7,920351,28500,28500,8265,1500,0,Farinha de trigo,KGL  ,Argentina,Paraná,REGIAO SUL,RODOVIARIA,0920351 - DIONISIO CERQUEIRA
2016,12,11010010,10,63,RS,7,1010951,156000,156000,54080,6000,0,Farinha de trigo,KGL  ,Argentina,Rio Grande do Sul,REGIAO SUL,RODOVIARIA,1010951 - ITAQUI
2016,4,10059010,10,63,PR,7,910600,672000,672000,198520,22035,437,"Milho em grão, exceto para semeadura",KGL  ,Argentina,Paraná,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,2,10019900,10,586,PR,7,910651,32610,32610,4957,333,2,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Paraguai,Paraná,REGIAO SUL,RODOVIARIA,0910651 - GUAIRA
2016,6,11010010,10,586,RJ,7,910600,115200,115200,38016,2995,0,Farinha de trigo,KGL  ,Paraguai,Rio de Janeiro,REGIAO SUDESTE,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,6,11010010,10,63,MG,7,910600,2337500,2337500,737899,78178,129,Farinha de trigo,KGL  ,Argentina,Minas Gerais,REGIAO SUDESTE,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,10,10019900,10,249,SP,1,817800,55257329,55257329,11730558,1059777,1697,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Estados Unidos,São Paulo,REGIAO SUDESTE,MARITIMA,0817800 - PORTO DE SANTOS
2016,8,10019900,10,63,SP,1,817800,64327000,64327000,14374713,944169,0,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Argentina,São Paulo,REGIAO SUDESTE,MARITIMA,0817800 - PORTO DE SANTOS
2016,9,11010010,10,87,AP,1,217602,150000,150000,56336,10592,338,Farinha de trigo,KGL  ,Bélgica,Amapá,REGIAO NORTE,MARITIMA,0217602 - BARCARENA
2016,4,10019900,10,586,PR,7,910600,18157280,18157280,2991139,157468,288,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Paraguai,Paraná,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
