Country;CommodityCode;Attribute
Togo;2221000.0;AreaHarvested
Togo;2232000.0;AreaHarvested
Togo;4243000.0;AreaHarvested
Trinidad and Tobago;440000.0;AreaHarvested
Tunisia;410000.0;AreaHarvested
Turkey;410000.0;AreaHarvested
Turkey;440000.0;AreaHarvested
Turkey;2221000.0;AreaHarvested
Turkey;2222000.0;AreaHarvested
Turkey;2224000.0;AreaHarvested
Turkey;2226000.0;AreaHarvested
Turkmenistan;410000.0;AreaHarvested
Turkmenistan;440000.0;AreaHarvested
Uganda;410000.0;AreaHarvested
Uganda;440000.0;AreaHarvested
Uganda;2221000.0;AreaHarvested
Uganda;2222000.0;AreaHarvested
Ukraine;410000.0;AreaHarvested
Ukraine;440000.0;AreaHarvested
Ukraine;2222000.0;AreaHarvested
Ukraine;2224000.0;AreaHarvested
Ukraine;2226000.0;AreaHarvested
United Kingdom;410000.0;AreaHarvested
United Kingdom;440000.0;AreaHarvested
United Kingdom;2226000.0;AreaHarvested
United States;410000.0;AreaHarvested
United States;440000.0;AreaHarvested
United States;2221000.0;AreaHarvested
United States;2222000.0;AreaHarvested
United States;2224000.0;AreaHarvested
United States;2226000.0;AreaHarvested
Uruguay;410000.0;AreaHarvested
Uruguay;440000.0;AreaHarvested
Uruguay;2222000.0;AreaHarvested
Uruguay;2224000.0;AreaHarvested
Uruguay;2226000.0;AreaHarvested
Uzbekistan;410000.0;AreaHarvested
Uzbekistan;440000.0;AreaHarvested
Uzbekistan;2222000.0;AreaHarvested
Uzbekistan;2224000.0;AreaHarvested
Vanuatu/New Hebrides;2231000.0;AreaHarvested
Venezuela;440000.0;AreaHarvested
Venezuela;2222000.0;AreaHarvested
Venezuela;2231000.0;AreaHarvested
Venezuela;4243000.0;AreaHarvested
Vietnam;440000.0;AreaHarvested
Vietnam;2221000.0;AreaHarvested
Vietnam;2222000.0;AreaHarvested
Vietnam;2226000.0;AreaHarvested
Vietnam;2231000.0;AreaHarvested
WORLD;410000.0;AreaHarvested
WORLD;440000.0;AreaHarvested
WORLD;2221000.0;AreaHarvested
WORLD;2222000.0;AreaHarvested
WORLD;2224000.0;AreaHarvested
WORLD;2226000.0;AreaHarvested
WORLD;2231000.0;AreaHarvested
WORLD;2232000.0;AreaHarvested
WORLD;4235000.0;AreaHarvested
WORLD;4243000.0;AreaHarvested
Yemen;410000.0;AreaHarvested
Yemen;440000.0;AreaHarvested
Zambia;410000.0;AreaHarvested
Zambia;440000.0;AreaHarvested
Zambia;2221000.0;AreaHarvested
Zambia;2222000.0;AreaHarvested
Zimbabwe;410000.0;AreaHarvested
Zimbabwe;440000.0;AreaHarvested
Zimbabwe;2221000.0;AreaHarvested
Zimbabwe;2222000.0;AreaHarvested
Afghanistan;410000.0;BeginningStocks
Afghanistan;4243000.0;BeginningStocks
Albania;410000.0;BeginningStocks
Algeria;410000.0;BeginningStocks
Algeria;440000.0;BeginningStocks
Algeria;813100.0;BeginningStocks
Algeria;2222000.0;BeginningStocks
Algeria;4232000.0;BeginningStocks
Algeria;4235000.0;BeginningStocks
Algeria;4236000.0;BeginningStocks
Algeria;4243000.0;BeginningStocks
Angola;410000.0;BeginningStocks
Angola;440000.0;BeginningStocks
Angola;4232000.0;BeginningStocks
Angola;4243000.0;BeginningStocks
Argentina;410000.0;BeginningStocks
Argentina;440000.0;BeginningStocks
Argentina;813100.0;BeginningStocks
Argentina;813200.0;BeginningStocks
