ANO;MES;CO_NCM;ARG_PAIS_CO;PNET;FOB;NO_NCM_POR;ARG_PAIS_NOME
2019;7;10019900;999;20530000,000;4875656,10;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Secret
2019;8;10019900;999;3547720,000;1012470,91;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Secret
2019;9;10019900;999;866450,000;296514,00;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Secret
2019;10;10019900;999;3522140,000;916502,34;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Secret
2019;11;10019900;999;146169560,000;27845971,24;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Secret
2019;12;10019900;999;603953185,000;116521265,90;Outros trigos e misturas de trigo com centeio, exceto para semeadura;Secret
2019;12;10051000;135;s;s;Milho para semeadura;Secret
2019;2;10051000;159;s;s;Milho para semeadura;Sudafrica
2019;8;10051000;159;s;s;Milho para semeadura;Sudafrica
2019;12;10051000;159;s;s;Milho para semeadura;Sudafrica
2019;2;10051000;202;s;s;Milho para semeadura;Bolivia
2019;6;10051000;202;s;s;Milho para semeadura;Bolivia
2019;8;10051000;202;s;s;Milho para semeadura;Bolivia
2019;9;10051000;202;s;s;Milho para semeadura;Bolivia
2019;12;10051000;202;154244,620;783032,69;Milho para semeadura;Bolivia
2019;1;10051000;203;s;s;Milho para semeadura;Brasil
2019;4;10051000;203;s;s;Milho para semeadura;Brasil
2019;6;10051000;203;s;s;Milho para semeadura;Brasil
2019;8;10051000;203;s;s;Milho para semeadura;Brasil
2019;9;10051000;203;s;s;Milho para semeadura;Brasil
2019;10;10051000;203;s;s;Milho para semeadura;Brasil
2019;11;10051000;203;s;s;Milho para semeadura;Brasil
2019;12;10051000;203;s;s;Milho para semeadura;Brasil
2019;2;10051000;205;s;s;Milho para semeadura;Colombia
2019;4;10051000;205;s;s;Milho para semeadura;Colombia
2019;8;10051000;205;s;s;Milho para semeadura;Colombia
2019;11;10051000;205;s;s;Milho para semeadura;Colombia
2019;12;10051000;205;s;s;Milho para semeadura;Colombia
2019;2;10051000;208;s;s;Milho para semeadura;Chile
2019;9;10051000;208;s;s;Milho para semeadura;Chile
2019;10;10051000;208;s;s;Milho para semeadura;Chile
2019;5;10051000;210;s;s;Milho para semeadura;Ecuador
2019;10;10051000;210;s;s;Milho para semeadura;Ecuador
2019;3;10051000;211;s;s;Milho para semeadura;El Salvador
2019;2;10051000;212;s;s;Milho para semeadura;Estados Unidos
2019;3;10051000;212;1611796,300;5842850,77;Milho para semeadura;Estados Unidos
2019;4;10051000;212;320252,060;2628722,28;Milho para semeadura;Estados Unidos
2019;5;10051000;212;4054,100;9034,89;Milho para semeadura;Estados Unidos
2019;8;10051000;212;s;s;Milho para semeadura;Estados Unidos
2019;9;10051000;212;s;s;Milho para semeadura;Estados Unidos
2019;2;10051000;213;s;s;Milho para semeadura;Guatemala
2019;6;10051000;213;s;s;Milho para semeadura;Guatemala
2019;9;10051000;213;s;s;Milho para semeadura;Guatemala
2019;10;10051000;213;s;s;Milho para semeadura;Guatemala
2019;12;10051000;213;s;s;Milho para semeadura;Guatemala
2019;4;10051000;216;s;s;Milho para semeadura;Honduras
2019;12;10051000;216;s;s;Milho para semeadura;Honduras
2019;4;10051000;218;s;s;Milho para semeadura;Mexico
2019;12;10051000;218;s;s;Milho para semeadura;Mexico
2019;11;10051000;219;s;s;Milho para semeadura;Nicaragua
2019;1;10051000;221;s;s;Milho para semeadura;Paraguay
2019;2;10051000;221;s;s;Milho para semeadura;Paraguay
2019;10;10051000;221;s;s;Milho para semeadura;Paraguay
2019;11;10051000;221;s;s;Milho para semeadura;Paraguay
2019;12;10051000;221;s;s;Milho para semeadura;Paraguay
2019;6;10051000;222;s;s;Milho para semeadura;Peru
2019;8;10051000;222;s;s;Milho para semeadura;Peru
2019;1;10051000;225;s;s;Milho para semeadura;Uruguay
2019;7;10051000;225;s;s;Milho para semeadura;Uruguay
2019;8;10051000;225;1960421,180;11130644,79;Milho para semeadura;Uruguay
2019;9;10051000;225;435909,900;2876343,89;Milho para semeadura;Uruguay
2019;10;10051000;225;177446,080;1158900,40;Milho para semeadura;Uruguay
2019;11;10051000;225;112953,530;803120,58;Milho para semeadura;Uruguay
2019;12;10051000;225;53533,480;387842,54;Milho para semeadura;Uruguay
2019;3;10051000;310;s;s;Milho para semeadura;China
2019;2;10051000;412;s;s;Milho para semeadura;Francia
2019;7;10051000;412;s;s;Milho para semeadura;Francia
2019;8;10051000;412;s;s;Milho para semeadura;Francia
2019;3;10051000;417;s;s;Milho para semeadura;Italia
2019;4;10051000;417;s;s;Milho para semeadura;Italia
2019;12;10051000;436;s;s;Milho para semeadura;Turquia
2019;2;10051000;438;s;s;Milho para semeadura;Republica Federal de Alemania
2019;3;10051000;438;s;s;Milho para semeadura;Republica Federal de Alemania
2019;4;10051000;438;s;s;Milho para semeadura;Republica Federal de Alemania
2019;3;10051000;445;s;s;Milho para semeadura;Ucrania
2019;5;10051000;445;s;s;Milho para semeadura;Ucrania
2019;1;10051000;999;56117,520;374622,67;Milho para semeadura;Secret
2019;2;10051000;999;1157243,260;3227834,78;Milho para semeadura;Secret
2019;3;10051000;999;3459,840;15164,62;Milho para semeadura;Secret
2019;4;10051000;999;4193,000;54241,87;Milho para semeadura;Secret
2019;5;10051000;999;20002,000;97504,00;Milho para semeadura;Secret
2019;6;10051000;999;25061,110;268943,19;Milho para semeadura;Secret
2019;7;10051000;999;715772,500;4097628,65;Milho para semeadura;Secret
2019;8;10051000;999;36411,600;198887,48;Milho para semeadura;Secret
2019;9;10051000;999;86506,970;524592,00;Milho para semeadura;Secret
2019;10;10051000;999;243872,970;1396206,92;Milho para semeadura;Secret
2019;11;10051000;999;641731,470;2416652,37;Milho para semeadura;Secret
2019;12;10051000;999;596999,580;2583564,55;Milho para semeadura;Secret
2019;3;10059010;101;s;s;Milho em gṛo, exceto para semeadura;Burkina Faso
2019;5;10059010;101;s;s;Milho em gṛo, exceto para semeadura;Burkina Faso
