Código_Produto,Classificação,Subproduto,Local,
D_SuEq_NN_BR,Açúcar,Raw Sugar,Nordeste,
D_SuEq_Rp_BR,Açúcar,Raw Sugar,Ribeirão Preto,
D_SuLnEx_Sa_BR,Açúcar,,Santos,
D_SuLxEx_Sa_BR,Açúcar,LQW Color Max 150,Santos,
D_SuOgEx_Sa_BR,Açúcar,Organic Sugar,Santos,
D_SuPr_NN_BR,Açúcar,Raw Sugar,Nordeste,
D_SuPr_NN_BR_1,Açúcar,,Nordeste,
D_SuPr_Sp_BR,Açúcar,,São Paulo,
D_SuRaPr_Ko_TH,Açúcar,Raw Sugar,Tailândia,
D_SuVhEx_Sa_BR,Açúcar,VHP,Santos,
D_SuVhEx_Sa_BR_1,Açúcar,VHP,Santos,
D_SuVhPr_Sa_BR,Açúcar,VHP,Santos,
D_SuWtPm_GB,Açúcar,White Sugar,,
GuGuPr_Mu_IN,Açúcar,Gur,,
Pr_GB_40,Açúcar,,,
SCPr_Pr_BR,Açúcar,,Paraná,
SCPr_Pr_BR_1,Açúcar,,Paraná,
SCPr_Sp_BR_1,Açúcar,,São Paulo,
SCPr_Sp_BR_2,Açúcar,,São Paulo,
SCPr_Sp_BR_3,Açúcar,,São Paulo,
SCPr_Sp_BR_4,Açúcar,,São Paulo,
SCPr_Sp_BR_5,Açúcar,,São Paulo,
SCPr_Sp_BR_6,Açúcar,,São Paulo,
SuCbPr_Sp_BR,Açúcar,Crystal Bagged Sugar,São Paulo,
SuPr_AL_BR,Açúcar,Crystal Bagged Sugar,Alagoas,
SuPr_AL_BR_1,Açúcar,Crystal Bagged Sugar,Alagoas,
SuPr_CN_42,Açúcar,,China,
SuPr_PB_BR,Açúcar,Crystal Bagged Sugar,Paraíba,
SuPr_PE_BR,Açúcar,Crystal Bagged Sugar,Pernambuco,
SuPr_Rj_BR,Açúcar,Crystal Bagged Sugar,Rio de Janeiro,
SuPr_RU_41,Açúcar,,Rússia,
SuPr_Sa_BR,Açúcar,Crystal Bagged Sugar,Santos,
SuPr_Sp_BR,Açúcar,Crystal Bagged Sugar,São Paulo,
SuPr_Sp_BR_1,Açúcar,Crystal Bagged Sugar,São Paulo,
SuPr_WW,Açúcar,,,
SuRaPr_Ac_MX,Açúcar,Raw Sugar,México,
SuRaPr_Ag_MX,Açúcar,Raw Sugar,México,
SuRaPr_Al_MX,Açúcar,Raw Sugar,México,
SuRaPr_Ch_MX,Açúcar,Raw Sugar,México,
SuRaPr_Ch_MX_1,Açúcar,Raw Sugar,México,
SuRaPr_Co_MX,Açúcar,Raw Sugar,México,
SuRaPr_Co_MX_1,Açúcar,Raw Sugar,México,
SuRaPr_Cu_MX,Açúcar,Raw Sugar,México,
SuRaPr_Cu_MX_1,Açúcar,Raw Sugar,México,
SuRaPr_Du_MX,Açúcar,Raw Sugar,México,
SuRaPr_Ec_MX,Açúcar,Raw Sugar,México,
SuRaPr_Gu_MX,Açúcar,Raw Sugar,México,
SuRaPr_Gu_MX_1,Açúcar,Raw Sugar,México,
SuRaPr_He_MX,Açúcar,Raw Sugar,México,
SuRaPr_Iz_MX,Açúcar,Raw Sugar,México,
SuRaPr_Le_MX,Açúcar,Raw Sugar,México,
SuRaPr_Ma_MX,Açúcar,Raw Sugar,México,
SuRaPr_Me_MX,Açúcar,Raw Sugar,México,
SuRaPr_Mi_MX,Açúcar,Raw Sugar,México,
SuRaPr_Mo_MX,Açúcar,Raw Sugar,México,
SuRaPr_MX,Açúcar,Raw Sugar,México,
SuRaPr_Oa_MX,Açúcar,Raw Sugar,México,
SuRaPr_Pa_MX,Açúcar,Raw Sugar,México,
SuRaPr_Pe_MX,Açúcar,Raw Sugar,México,
SuRaPr_Po_MX,Açúcar,Raw Sugar,México,
SuRaPr_Pu_MX,Açúcar,Raw Sugar,México,
SuRaPr_Re_MX,Açúcar,Raw Sugar,México,
SuRaPr_Sa_MX,Açúcar,Raw Sugar,México,
SuRaPr_Sc_MX,Açúcar,Raw Sugar,México,
SuRaPr_Sl_MX,Açúcar,Raw Sugar,México,
SuRaPr_Sp_BR,Açúcar,Crystal Bagged Sugar,México,
SuRaPr_Sq_MX,Açúcar,Raw Sugar,México,
SuRaPr_Te_MX,Açúcar,Raw Sugar,México,
SuRaPr_Ti_MX,Açúcar,Raw Sugar,México,
SuRaPr_Ti_MX_1,Açúcar,Raw Sugar,México,
SuRaPr_To_MX,Açúcar,Raw Sugar,México,
SuRaPr_To_MX_1,Açúcar,Raw Sugar,México,
SuRaPr_Tu_MX,Açúcar,Raw Sugar,México,
SuRaPr_Vi_MX,Açúcar,Raw Sugar,México,
SuRaPr_Xa_MX,Açúcar,Raw Sugar,México,
SuRaPr_Za_MX,Açúcar,Raw Sugar,México,
SuSmPr_Dl_IN,Açúcar,Sugar M Grade,Índia,
SuSmPr_Ka_IN,Açúcar,Sugar M Grade,Índia,
SuSmPr_Ko_IN,Açúcar,Sugar M Grade,Índia,
SuSmPr_Ko_IN_1,Açúcar,Sugar M Grade,Índia,
SuSmPr_Mu_IN,Açúcar,Sugar M Grade,Índia,
SuSsPr_Ko_IN,Açúcar,Sugar S Grade,Índia,
SuVHP_SP_BR,Açúcar,Crystal Bagged Sugar,São Paulo,
SuW_SP_BR,Açúcar,Crystal Bagged Sugar,São Paulo,
SuWtPr_Ac_MX,Açúcar,White Sugar,México,
SuWtPr_Ag_MX,Açúcar,White Sugar,México,
SuWtPr_Al_MX,Açúcar,White Sugar,México,
SuWtPr_Ch_MX,Açúcar,White Sugar,México,
SuWtPr_Cu_MX,Açúcar,White Sugar,México,
SuWtPr_Du_MX,Açúcar,White Sugar,México,
SuWtPr_Ec_MX,Açúcar,White Sugar,México,
SuWtPr_Gu_MX,Açúcar,White Sugar,México,
SuWtPr_Gu_MX_1,Açúcar,White Sugar,México,
SuWtPr_Iz_MX,Açúcar,White Sugar,México,
SuWtPr_Me_MX,Açúcar,White Sugar,México,
SuWtPr_Mo_MX,Açúcar,White Sugar,México,
SuWtPr_MX,Açúcar,White Sugar,México,
SuWtPr_Pu_MX,Açúcar,White Sugar,México,
SuWtPr_Re_MX,Açúcar,White Sugar,México,
SuWtPr_Sa_MX,Açúcar,White Sugar,México,
SuWtPr_Sc_MX,Açúcar,White Sugar,México,
SuWtPr_Te_MX,Açúcar,White Sugar,México,
SuWtPr_Ti_MX,Açúcar,White Sugar,México,
SuWtPr_Ti_MX_1,Açúcar,White Sugar,México,
SuWtPr_To_MX,Açúcar,White Sugar,México,
SuWtPr_To_MX_1,Açúcar,White Sugar,México,
SuWtPr_Tu_MX,Açúcar,White Sugar,México,
TRPr_AL_BR,Açúcar,,Alagoas,
TRPr_AL_BR_1,Açúcar,,Alagoas,
TRPr_PB_BR,Açúcar,,Paraíba,
TRPr_PB_BR_1,Açúcar,,Paraíba,
TRPr_PE_BR,Açúcar,,Pernambuco,
TRPr_PE_BR_1,Açúcar,,Pernambuco,
TRPr_Pr_BR,Açúcar,,Paraná,
TRPr_Pr_BR_1,Açúcar,,Paraná,
TRPr_Sp_BR,Açúcar,,São Paulo,
TRPr_Sp_BR_1,Açúcar,,São Paulo,
CTPR_SD,Algodão,Cottonseed,,
CTPR_SDOI,Algodão,Cottonseed Oil,,
CTPR_SDOI_ME28,Algodão,Cottonseed,,
CTPR_SDOI_ME38,Algodão,Cottonseed,,
CTPR_SDOI_SR,Algodão,Cottonseed Oil,,
CtPr_Sp_BR,Algodão,,São Paulo,
D_CSPR_ARU_BR,Algodão,Cottonseed,Araçatuba,
D_CSPR_CHS_BR,Algodão,Cottonseed,Chapadão Do Sul,
D_CSPR_CNP_BR,Algodão,Cottonseed,Campo Novo Do Parecis,
D_CSPR_JTI_BR,Algodão,Cottonseed,Jataí,
D_CSPR_LEM_BR,Algodão,Cottonseed,Luiz Eduardo Magalhães,
D_CSPR_PRL_BR,Algodão,Cottonseed,Primavera Do Leste,
D_CSPR_ROO_BR,Algodão,Cottonseed,Rondonópolis,
D_CSPR_SMT_BR,Algodão,Cottonseed,Sorriso,
D_CSPR_SP_BR,Algodão,Cottonseed,São Paulo,
D_CSPR_SPZ_BR,Algodão,Cottonseed,Sapezal,
D_CSPR_UDI_BR,Algodão,Cottonseed,Uberlândia,
D_CTPR_ARU_BR,Algodão,Cotton,Araçatuba,
D_CTPR_CHS_BR,Algodão,Cotton,Chapadão Do Sul,
D_CTPR_CNP_BR,Algodão,Cotton,Campo Novo Do Parecis,
D_CTPR_JTI_BR,Algodão,Cotton,Jataí,
D_CTPR_LEM_BR,Algodão,Cotton,Luiz Eduardo Magalhães,
D_CTPR_PRL_BR,Algodão,Cotton,Primavera Do Leste,
D_CTPR_ROO_BR,Algodão,Cotton,Rondonópolis,
D_CTPR_SMT_BR,Algodão,Cotton,Sorriso,
D_CTPR_SP_BR,Algodão,Cotton,São Paulo,
D_CTPR_SPZ_BR,Algodão,Cotton,Sapezal,
D_CTPR_UDI_BR,Algodão,Cotton,Uberlândia,
RiDe_WW,Arroz,Rice,,
RiES_WW,Arroz,Rice,,
RiPd_WW,Arroz,Rice,,
RiPdPr_Rs_BR,Arroz,Rice,Rio Grande do Sul,
RIPR_BR,Arroz,Broken Rice,,
RIPR_ME,Arroz,Rice Bran,,
RIPR_ME_NONFT,Arroz,Rice Bran,,
RIPR_OI,Arroz,Rice Oil,,
RIPR_OICR,Arroz,Rice Oil,,
RiPr_TH,Arroz,Rice,Tailândia,
RiPr_WW,Arroz,Rice,,
SbPr_AR,Arroz,Soybean Grain,Argentina,
BDPR_AB,Biodiesel,Biodiesel,,
D_BdD4As_US_2018,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4As_US_2019,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4As_US_2020,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4As_US_2021,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4As_US_2022,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4As_US_2023,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Bi_US_2018,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Bi_US_2019,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Bi_US_2020,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Bi_US_2021,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Bi_US_2022,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Bi_US_2023,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Pr_US_2018,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Pr_US_2019,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Pr_US_2020,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Pr_US_2021,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Pr_US_2022,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Pr_US_2023,Biodiesel,Biodiesel Rin D4,EUA,
CfArPr_Sp_BR,Café,,São Paulo,
CfBaPr_EU,Café,Brazilian Natural Arabica,Europa,
CfBaPr_US,Café,Brazilian Natural Arabica,EUA,
CfBaPr_WW,Café,Brazilian Natural Arabica,,
CfC6Pr_Sp_BR,Café,,São Paulo,
CfCaPr_EU,Café,Colombian Mild Arabica,Europa,
CfCaPr_US,Café,Colombian Mild Arabica,EUA,
CfCaPr_WW,Café,Colombian Mild Arabica,,
CfOaPr_EU,Café,Other Mild Arabica,Europa,
CfOaPr_US,Café,Other Mild Arabica,EUA,
CfOaPr_WW,Café,Other Mild Arabica,,
CfPr_WW,Café,,,
CfRoPr_EU,Café,Robusta,Europa,
CfRoPr_US,Café,Robusta,EUA,
CfRoPr_WW,Café,Robusta,,
D_CBIO_CUMPRI,Carbono,Hydrous Ethanol,,
D_CBIO_META,Carbono,Hydrous Ethanol,,
D_CnAs_Ca_US,Carbono,Carbon,EUA,
D_CnAv_Ca_US,Carbono,Carbon,EUA,
D_CnBi_Ca_US,Carbono,Carbon,EUA,
D_ClD3As_US_2018,Celulose,Cellulosic RIN D3,EUA,
D_ClD3As_US_2019,Celulose,Cellulosic RIN D3,EUA,
D_ClD3As_US_2020,Celulose,Cellulosic RIN D3,EUA,
D_ClD3As_US_2021,Celulose,Cellulosic RIN D3,EUA,
D_ClD3As_US_2022,Celulose,Cellulosic RIN D3,EUA,
D_ClD3As_US_2023,Celulose,Cellulosic RIN D3,EUA,
D_ClD3Bi_US_2018,Celulose,Cellulosic RIN D3,EUA,
D_ClD3Bi_US_2019,Celulose,Cellulosic RIN D3,EUA,
D_ClD3Bi_US_2020,Celulose,Cellulosic RIN D3,EUA,
D_ClD3Bi_US_2021,Celulose,Cellulosic RIN D3,EUA,
D_ClD3Bi_US_2022,Celulose,Cellulosic RIN D3,EUA,
D_ClD3Bi_US_2023,Celulose,Cellulosic RIN D3,EUA,
D_ClD3Pr_US_2018,Celulose,Cellulosic RIN D3,EUA,
D_ClD3Pr_US_2019,Celulose,Cellulosic RIN D3,EUA,
D_ClD3Pr_US_2020,Celulose,Cellulosic RIN D3,EUA,
D_ClD3Pr_US_2021,Celulose,Cellulosic RIN D3,EUA,
D_ClD3Pr_US_2022,Celulose,Cellulosic RIN D3,EUA,
D_ClD3Pr_US_2023,Celulose,Cellulosic RIN D3,EUA,
EPPr_N_M_BR,Energia,All Types,Norte,
EPPr_N_W_BR,Energia,All Types,Norte,
EPPr_NE_M_BR,Energia,All Types,Nordeste,
EPPr_NE_W_BR,Energia,All Types,Nordeste,
EPPr_S_M_BR,Energia,All Types,Sul,
EPPr_S_W_BR,Energia,All Types,Sul,
EPPr_SW_M_BR,Energia,All Types,Sudeste,
EPPr_SW_W_BR,Energia,All Types,Sudeste,
D_EtAnEq_NN_BR,Etanol,Anhydrous Ethanol,Nordeste,
D_EtAnEq_Qu_BR,Etanol,Anhydrous Ethanol,Quirinópolis,
D_EtAnEq_Rp_BR,Etanol,Anhydrous Ethanol,Ribeirão Preto,
D_EtAnEx_Sa_BR,Etanol,Anhydrous Ethanol,Santos,
D_EtAnEx_Sa_BR_1,Etanol,Anhydrous Ethanol,Santos,
D_EtAnPr_Go_BR_1,Etanol,Anhydrous Ethanol,Goiás,
D_EtAnPr_Ms_BR,Etanol,Anhydrous Ethanol,Mato Grosso do Sul,
D_EtAnPr_NN_BR,Etanol,Anhydrous Ethanol,Nordeste,
D_EtAnPr_NN_BR_1,Etanol,Anhydrous Ethanol,Nordeste,
D_EtAnPr_Ou_BR,Etanol,Anhydrous Ethanol,Ourinhos,
D_EtAnPr_Pa_BR,Etanol,Anhydrous Ethanol,Paulínia,
D_EtAnPr_Pr_BR,Etanol,Anhydrous Ethanol,Paraná,
D_EtAnPr_Pr_BR_1,Etanol,Anhydrous Ethanol,Paraná,
D_EtAnPr_Rp_BR,Etanol,Anhydrous Ethanol,Ribeirão Preto,
D_EtAnPr_Sp_BR,Etanol,Anhydrous Ethanol,São Paulo,
D_EtAnPr_Sp_BR_1,Etanol,Anhydrous Ethanol,São Paulo,
D_EtD5As_US_2018,Etanol,Ethanol RIN D5,EUA,
D_EtD5As_US_2019,Etanol,Ethanol RIN D5,EUA,
D_EtD5As_US_2020,Etanol,Ethanol RIN D5,EUA,
D_EtD5As_US_2021,Etanol,Ethanol RIN D5,EUA,
D_EtD5As_US_2022,Etanol,Ethanol RIN D5,EUA,
D_EtD5As_US_2023,Etanol,Ethanol RIN D5,EUA,
D_EtD5Bi_US_2018,Etanol,Ethanol RIN D5,EUA,
D_EtD5Bi_US_2019,Etanol,Ethanol RIN D5,EUA,
D_EtD5Bi_US_2020,Etanol,Ethanol RIN D5,EUA,
D_EtD5Bi_US_2021,Etanol,Ethanol RIN D5,EUA,
D_EtD5Bi_US_2022,Etanol,Ethanol RIN D5,EUA,
D_EtD5Bi_US_2023,Etanol,Ethanol RIN D5,EUA,
D_EtD5Pr_US_2018,Etanol,Ethanol RIN D5,EUA,
D_EtD5Pr_US_2019,Etanol,Ethanol RIN D5,EUA,
D_EtD5Pr_US_2020,Etanol,Ethanol RIN D5,EUA,
D_EtD5Pr_US_2021,Etanol,Ethanol RIN D5,EUA,
D_EtD5Pr_US_2022,Etanol,Ethanol RIN D5,EUA,
D_EtD5Pr_US_2023,Etanol,Ethanol RIN D5,EUA,
D_EtHyEq_Go_BR,Etanol,Hydrous Ethanol,EUA,
D_EtHyEq_NN_BR,Etanol,Hydrous Ethanol,Nordeste,
D_EtHyEq_Rp_BR,Etanol,Hydrous Ethanol,Ribeirão Preto,
D_EtHyPr_Go_BR,Etanol,Hydrous Ethanol,Goiás,
D_EtHyPr_Go_BR_1,Etanol,Hydrous Ethanol,Goiás,
D_EtHyPr_Mg_BR,Etanol,Hydrous Ethanol,Minas Gerais,
D_EtHyPr_Mg_BR_1,Etanol,Hydrous Ethanol,Minas Gerais,
D_EtHyPr_Ms_BR,Etanol,Hydrous Ethanol,Mato Grosso do Sul,
D_EtHyPr_Ms_BR_1,Etanol,Hydrous Ethanol,Mato Grosso do Sul,
D_EtHyPr_NN_BR,Etanol,Hydrous Ethanol,Nordeste,
D_EtHyPr_NN_BR_1,Etanol,Hydrous Ethanol,Nordeste,
D_EtHYPr_Ou_BR,Etanol,Hydrous Ethanol,Ourinhos,
D_EtHYPr_Pa_BR,Etanol,Hydrous Ethanol,Paulínia,
D_EtHyPr_Pr_BR,Etanol,Hydrous Ethanol,Paraná,
D_EtHyPr_Pr_BR_1,Etanol,Hydrous Ethanol,Paraná,
D_EtHYPr_Rp_BR,Etanol,Hydrous Ethanol,Ribeirão Preto,
D_EtHyPr_Sp_BR,Etanol,Hydrous Ethanol,São Paulo,
D_EtHyPr_Sp_BR_1,Etanol,Hydrous Ethanol,São Paulo,
EtAnAs_Be_BR,Etanol,Anhydrous Ethanol,Betim,
EtAnAs_Be_BR_2,Etanol,Anhydrous Ethanol,Betim,
EtAnAs_Ca_BR_1,Etanol,Anhydrous Ethanol,Cabedelo,
EtAnAs_Fo_BR,Etanol,Anhydrous Ethanol,Fortaleza,
EtAnAs_Go_BR,Etanol,Anhydrous Ethanol,Goiânia,
EtAnAs_Gu_BR_1,Etanol,Anhydrous Ethanol,Guarulhos,
EtAnAs_Ou_BR_1,Etanol,Anhydrous Ethanol,Ourinhos,
EtAnAs_Pa_BR_1,Etanol,Anhydrous Ethanol,Paulínia,
EtAnAs_Rp_BR,Etanol,Anhydrous Ethanol,Ribeirão Preto,
EtAnAs_Sa_BR,Etanol,Anhydrous Ethanol,Salvador,
EtAnAs_Sl_BR,Etanol,Anhydrous Ethanol,São Luis,
EtAnAs_Su_BR_1,Etanol,Anhydrous Ethanol,Suape,
EtAnAs_Ub_BR,Etanol,Anhydrous Ethanol,Uberlândia,
EtAnAs_Vi_BR_1,Etanol,Anhydrous Ethanol,Vitória,
EtAnBi_Be_BR_1,Etanol,Anhydrous Ethanol,Belém,
EtAnBi_Be_BR_3,Etanol,Anhydrous Ethanol,Betim,
EtAnBi_Ca_BR_1,Etanol,Anhydrous Ethanol,Cabedelo,
EtAnBi_Fo_BR_1,Etanol,Anhydrous Ethanol,Fortaleza,
EtAnBi_Go_BR_1,Etanol,Anhydrous Ethanol,Goiânia,
EtAnBi_Gu_BR_1,Etanol,Anhydrous Ethanol,Guarulhos,
EtAnBi_Ou_BR_1,Etanol,Anhydrous Ethanol,Ourinhos,
EtAnBi_Pa_BR_1,Etanol,Anhydrous Ethanol,Paulínia,
EtAnBi_Rp_BR,Etanol,Anhydrous Ethanol,Ribeirão Preto,
EtAnBi_Sa_BR,Etanol,Anhydrous Ethanol,Salvador,
EtAnBi_Sl_BR,Etanol,Anhydrous Ethanol,São Luis,
EtAnBi_Su_BR_1,Etanol,Anhydrous Ethanol,Suape,
EtAnBi_Ub_BR,Etanol,Anhydrous Ethanol,Uberlândia,
EtAnBi_Vi_BR_1,Etanol,Anhydrous Ethanol,Vitoria,
EtAnPr_Al_BR,Etanol,Anhydrous Ethanol,Alagoas,
EtAnPr_Be_BR,Etanol,Anhydrous Ethanol,Betim,
EtAnPr_Be_BR_1,Etanol,Anhydrous Ethanol,Belém,
EtAnPr_Ca_BR,Etanol,Anhydrous Ethanol,Cabedelo,
EtAnPr_CS_BR,Etanol,Anhydrous Ethanol,Centro-Sul,
EtAnPr_Fo_BR,Etanol,Anhydrous Ethanol,Fortaleza,
ETANPR_GC_SAN_BR,Etanol,Anhydrous Ethanol,Santos,
EtAnPr_Go_BR,Etanol,Anhydrous Ethanol,Goiânia,
EtAnPr_Go_BR_1,Etanol,Anhydrous Ethanol,Goiás,
EtAnPr_Gu_BR,Etanol,Anhydrous Ethanol,Guarulhos,
EtAnPr_Mt_BR,Etanol,Anhydrous Ethanol,Mato Grosso,
EtAnPr_NN_BR,Etanol,Anhydrous Ethanol,Norte-Nordeste,
EtAnPr_Ou_BR,Etanol,Anhydrous Ethanol,Ourinhos,
EtAnPr_Pa_BR,Etanol,Anhydrous Ethanol,Paulínia,
EtAnPr_Pe_BR,Etanol,Anhydrous Ethanol,Pernambuco,
EtAnPr_Rp_BR,Etanol,Anhydrous Ethanol,Ribeirão Preto,
EtAnPr_Sa_BR,Etanol,Anhydrous Ethanol,Salvador,
EtAnPr_Sl_BR,Etanol,Anhydrous Ethanol,São Luis,
EtAnPr_Sp_BR,Etanol,Anhydrous Ethanol,São Paulo,
EtAnPr_Sp_BR_1,Etanol,Anhydrous Ethanol,São Paulo,
EtAnPr_Su_BR,Etanol,Anhydrous Ethanol,Suape,
EtAnPr_Ub_BR,Etanol,Anhydrous Ethanol,Uberlândia,
EtAnPr_Vi_BR,Etanol,Anhydrous Ethanol,Vitória,
EtAoPr_Sp_BR,Etanol,Anhydrous Ethanol,São Paulo,
EtHoPr_Sp_BR,Etanol,Hydrous Ethanol,São Paulo,
EtHoPr_Sp_BR_1,Etanol,Hydrous Ethanol,São Paulo,
EtHyAs_Be_BR,Etanol,Hydrous Ethanol,Betim,
EtHyAs_Be_BR_1,Etanol,Hydrous Ethanol,Belém,
EtHyAs_Ca_BR_1,Etanol,Hydrous Ethanol,Cabedelo,
EtHyAs_Fo_BR_1,Etanol,Hydrous Ethanol,Fortaleza,
EtHyAs_Go_BR,Etanol,Hydrous Ethanol,Goiânia,
EtHyAs_Gu_BR_1,Etanol,Hydrous Ethanol,Guarulhos,
EtHyAs_Ou_BR_1,Etanol,Hydrous Ethanol,Ourinhos,
EtHyAs_Pa_BR_1,Etanol,Hydrous Ethanol,Paulínia,
EtHyAs_Rp_BR,Etanol,Hydrous Ethanol,Ribeirão Preto,
EtHyAs_Sa_BR_1,Etanol,Hydrous Ethanol,Salvador,
EtHyAs_Sl_BR_1,Etanol,Hydrous Ethanol,São Luis,
EtHyAs_Su_BR_1,Etanol,Hydrous Ethanol,Suape,
EtHyAs_Ub_BR,Etanol,Hydrous Ethanol,Uberlândia,
EtHyAs_Vi_BR_1,Etanol,Hydrous Ethanol,Vitória,
EtHyBi_Be_BR,Etanol,Hydrous Ethanol,Betim,
EtHyBi_Be_BR_1,Etanol,Hydrous Ethanol,Belém,
EtHyBi_Ca_BR,Etanol,Hydrous Ethanol,Cabedelo,
EtHyBi_Fo_BR_1,Etanol,Hydrous Ethanol,Fortaleza,
EtHyBi_Go_BR,Etanol,Hydrous Ethanol,Goiânia,
EtHyBi_Gu_BR_1,Etanol,Hydrous Ethanol,Guarulhos,
EtHyBi_Ou_BR_1,Etanol,Hydrous Ethanol,Ourinhos,
EtHyBi_Pa_BR_1,Etanol,Hydrous Ethanol,Paulínia,
EtHyBi_Rp_BR,Etanol,Hydrous Ethanol,Ribeirão Preto,
EtHyBi_Sa_BR,Etanol,Hydrous Ethanol,Salvador,
EtHyBi_Sl_BR,Etanol,Hydrous Ethanol,São Luis,
EtHyBi_Su_BR_1,Etanol,Hydrous Ethanol,Suape,
EtHyBi_Ub_BR,Etanol,Hydrous Ethanol,Uberlândia,
EtHyPr_Al_BR,Etanol,Hydrous Ethanol,Alagoas,
EtHyPr_Be_BR,Etanol,Hydrous Ethanol,Belém,
EtHyPr_Be_BR_1,Etanol,Hydrous Ethanol,Betim,
EtHyPr_Ca_BR,Etanol,Hydrous Ethanol,Cabedelo,
EtHyPr_CS_BR,Etanol,Hydrous Ethanol,Centro-Sul,
EtHyPr_Fo_BR,Etanol,Hydrous Ethanol,Fortaleza,
ETHYPR_GC_GC_US,Etanol,Hydrous Ethanol,Golfo,
ETHYPR_GC_PNW_US,Etanol,Hydrous Ethanol,,
ETHYPR_GC_SAN_BR,Etanol,Hydrous Ethanol,Santos,
EtHyPr_Go_BR,Etanol,Hydrous Ethanol,Goiânia,
EtHyPr_Go_BR_1,Etanol,Hydrous Ethanol,Goiás,
EtHyPr_Go_BR_2,Etanol,Hydrous Ethanol,Goiás,
EtHyPr_Gu_BR,Etanol,Hydrous Ethanol,Guarulhos,
EtHyPr_Mt_BR,Etanol,Hydrous Ethanol,Mato Grosso,
EtHyPr_NN_BR,Etanol,Hydrous Ethanol,Norte-Nordeste,
EtHyPr_Ou_BR,Etanol,Hydrous Ethanol,Ourinhos,
EtHyPr_Pa_BR,Etanol,Hydrous Ethanol,Paulínia,
EtHyPr_Pa_BR_1,Etanol,Anhydrous Ethanol,Paulínia,
EtHyPr_Pe_BR,Etanol,Hydrous Ethanol,Pernambuco,
EtHyPr_Rp_BR,Etanol,Hydrous Ethanol,Ribeirão Preto,
EtHyPr_Sa_BR,Etanol,Hydrous Ethanol,Salvador,
EtHyPr_Sl_BR,Etanol,Hydrous Ethanol,São Luis,
EtHyPr_Sp_BR_1,Etanol,Hydrous Ethanol,São Paulo,
EtHyPr_Sp_BR_2,Etanol,Hydrous Ethanol,São Paulo,
EtHyPr_Su_BR,Etanol,Hydrous Ethanol,Suape,
EtHyPr_Vi_BR,Etanol,Hydrous Ethanol,Vitória,
EtPr_Ac_BR,Etanol,,Acre,
EtPr_Ac_BR_2,Etanol,,Acre,
EtPr_Al_BR,Etanol,,Alagoas,
EtPr_Al_BR_2,Etanol,,Alagoas,
EtPr_Am_BR_1,Etanol,,Amazonas,
EtPr_Am_BR_3,Etanol,,Amazonas,
EtPr_Ap_BR,Etanol,,Amapá,
EtPr_Ap_BR_3,Etanol,,Amapá,
EtPr_Ba_BR,Etanol,,Bahia,
EtPr_Ba_BR_2,Etanol,,Bahia,
EtPr_BR_3,Etanol,,,
EtPr_Ca_BR,Etanol,,Santa Catarina,
EtPr_Ca_BR_2,Etanol,,Santa Catarina,
EtPr_Ce_BR,Etanol,,Ceará,
EtPr_Ce_BR_3,Etanol,,Ceará,
EtPr_Df_BR_1,Etanol,,Distrito Federal,
EtPr_Df_BR_3,Etanol,,Distrito Federal,
EtPr_Es_BR_1,Etanol,,Espírito Santo,
EtPr_Es_BR_2,Etanol,,Espírito Santo,
EtPr_Go_BR_3,Etanol,,Goiás,
EtPr_Go_BR_4,Etanol,,Goiás,
EtPr_Ma_BR_3,Etanol,,Maranhão,
EtPr_Ma_BR_7,Etanol,,Maranhão,
EtPr_Mg_BR_1,Etanol,,Minas Gerais,
EtPr_Mg_BR_3,Etanol,,Minas Gerais,
EtPr_Ms_BR_1,Etanol,,Mato Grosso do Sul,
EtPr_Ms_BR_3,Etanol,,Mato Grosso do Sul,
EtPr_Mt_BR_1,Etanol,,Mato Grosso,
EtPr_Mt_BR_3,Etanol,,Mato Grosso,
EtPr_Pb_BR_1,Etanol,,Paraíba,
EtPr_Pb_BR_2,Etanol,,Paraíba,
EtPr_Pe_BR_1,Etanol,,Pernambuco,
EtPr_Pe_BR_3,Etanol,,Pernambuco,
EtPr_Pi_BR_2,Etanol,,Piauí,
EtPr_Pi_BR_3,Etanol,,Piauí,
EtPr_Pr_BR,Etanol,,Paraná,
EtPr_Pr_BR_2,Etanol,,Paraná,
EtPr_Pr_BR_4,Etanol,,Pará,
